财务指标公式

分类	名称	果仁计算公式	备注
估值	市盈率	总市值/TTM(归属于母公司所有者的净利润,0)	即PE_TTM，等于总市值除以过去12个月的归属于母公司所有者的净利润
市净率	总市值/归属母公司股东权益合计	即PB，等于总市值除以归属母公司股东权益合计。
应收账款周转率	TTM(营业收入,0)/（AvgQ(应收账款,4,0) + AvgQ(应收票据,4,0) - AvgQ(预收账款,4,0) ）	等于过去12个月的营业收入/过去12个月的平均（应收账款+应收票据-预收账款）。
股东权益周转率	TTM(营业收入,0)/归属母公司股东权益合计	等于过去12个月的营业收入/最近一季度的归属母公司股东权益合计
存货周转天数	360/存货周转率	等于360/存货周转率。
应收账款周转天数	360/应收账款周转率	等于360/应收账款周转率。
应付账款周转天数	360/应付账款周转率	等于360/应付账款周转率。
营业周期	应收账款周转天数+存货周转天数	等于应收账款周转天数+存货周转天数。
应付账款付款期	AvgQ(应付账款,4,0)/TTM(营业成本,0)/360	等于过去12个月平均应付账款/营业成本/360
现金转换周期	营业周期－应付账款付款期	营业周期－应付账款付款期
　	　	　
成长能力	营业利润增长	(TTM(营业利润,0)-TTM(营业利润,4))/abs(TTM(营业利润,4)) 	过去12个月的营业利润相对4季度前的12个月的营业利润的增长率。
净利润增长	(TTM(净利润,0)-TTM(净利润,4)) / abs (TTM(净利润,4)) 	过去12个月的净利润相对4季度前的12个月的净利润的增长率。
利润总额增长	(TTM(利润总额,0)-TTM(利润总额,4)) / abs (TTM(利润总额,4)) 	过去12个月的利润总额相对4季度前的12个月的利润总额的增长率。
毛利润增长	((TTM(营业收入,0) - TTM(营业成本,0))-(TTM(营业收入,4) - TTM(营业成本,4))) / abs(TTM(营业收入,4) - TTM(营业成本,4)) 	过去12个月的毛利润相对4季度前的12个月的毛利润的增长率。
营业收入增长	(TTM(营业收入,0)-TTM(营业收入,4))/abs(TTM(营业收入,4)) 	过去12个月的营业收入相对4季度前的12个月的营业收入的增长率。
净资产增长	(REFQ(所有者权益合计,0) - REFQ(所有者权益合计,4))/abs( REFQ(所有者权益合计,4))	最近一季的所有者权益合计相对于4季度前的所有者权益合计的增长率。 
总资产增长	(REFQ(资产总计,0) - REFQ(资产总计,4))/abs( REFQ(资产总计,4))
最近一季的资产总计相对于4季度前的资产总计的增长率。 
归属于母公司所有者的净利润增长	(TTM(归属于母公司所有者的净利润,0)-TTM(归属于母公司所有者的净利润,4))/abs(TTM(归属于母公司所有者的净利润,4) )	过去12个月的归属于母公司所有者的净利润相对4季度前的12个月的归属于母公司所有者的净利润的增长率。
净现金流量增长率	(TTM(现金及现金等价物净增加额，0) - TTM(现金及现金等价物净增加额，4))/abs(TTM(现金及现金等价物净增加额，4))	过去12个月的现金及现金等价物净增加额相对4季度前的12个月的现金及现金等价物净增加额的增长率。
净利润3年复合增长	power((TTM(净利润,0)-TTM(净利润,12)) / abs (TTM(净利润,12)) + 1, 1/3) -1	过去12个月的净利润相对12季度前的12个月的净利润的年化增长率。
净利润5年复合增长	power((TTM(净利润,0)-TTM(净利润,20)) / abs (TTM(净利润,20)) + 1, 1/5) -1	过去12个月的净利润相对20季度前的12个月的净利润的年化增长率。
营业收入3年复合增长	power((TTM(营业收入,0)-TTM(营业收入,12)) / abs (TTM(营业收入,12)) + 1, 1/3) -1	过去12个月的营业收入相对12季度前的12个月的营业收入的年化增长率。
营业收入5年复合增长	power((TTM(营业收入,0)-TTM(营业收入,20)) / abs (TTM(营业收入,20)) + 1, 1/5) -1	过去12个月的营业收入相对20季度前的12个月的营业收入的年化增长率。
八季度净利润变化趋势	if( 净利润-refq(净利润, 4) > 0, 1, -1) + if( refq(净利润,1) -refq(净利润, 5) > 0, 1, -1) +if( refq(净利润,2) -refq(净利润, 6) > 0, 1, -1) +if( refq(净利润,3) -refq(净利润, 7) > 0, 1, -1) +if( refq(净利润,4) -refq(净利润, 8) > 0, 1, -1) +if( refq(净利润,5) -refq(净利润, 9) > 0, 1, -1) +if( refq(净利润, 6) -refq(净利润, 10) > 0, 1, -1) +if( refq(净利润,7) -refq(净利润, 11) > 0, 1, -1) 	前8个季度的净利润，如果同比（去年同期）增长记为+1，同比下滑记为-1，再将8 个值相加。
经营现金流量净额增长	(TTM(经营现金流量净额，0) - TTM(经营现金流量净额，4))/abs(TTM(经营现金流量净额，4))	过去12个月的经营现金流量净额相对4季度前的12个月的经营现金流量净额的增长率。
投资现金流量净额增长	(TTM(投资现金流量净额，0) - TTM(投资现金流量净额，4))/abs(TTM(投资现金流量净额，4))	过去12个月的投资现金流量净额相对4季度前的12个月的投资现金流量净额的增长率。
筹资现金流量净额增长	(TTM(筹资现金流量净额，0) - TTM(筹资现金流量净额，4))/abs(TTM(筹资现金流量净额，4))	过去12个月的筹资现金流量净额相对4季度前的12个月的筹资现金流量净额的增长率。
每股指标	每股收益	TTM(归属于母公司所有者的净利润,0)/总股本	过去12个月归属母公司所有者的净利润除以总股本
每股扣非收益	TTM(扣非净利润,0)/总股本	过去12个月扣非净利润除以总股本
每股净资产	归属母公司股东权益合计/总股本	最近一季的归属母公司股东权益合计除以总股本
每股营业利润	TTM(营业利润,0)/总股本	过去12个月营业利润除以总股本
每股营业收入	TTM(营业收入,0)/总股本	过去12个月营业收入除以总股本
每股经营性现金流	TTM(经营现金流量净额)/总股本	过去12个月经营现金流量净额/总股本
每股现金流量净额	TTM(现金及现金等价物净增加额)/总股本	过去12个月现金及现金等价物净增加额除以总股本
每股资本公积金	资本公积/总股本	最近一季的资本公积除以总股本
每股未分配利润	未分配利润/总股本	最近一季的未分配利润除以总股本
每股股息	上一年总现金分红/总股本	上一年总现金分红除以总股本
每股营业总收入	TTM(营业总收入, 0)/总股本	过去12个月总营业收入除以总股本
每股现金及现金等价物余额	期末现金及现金等价物余额/总股本	最近一季度期末现金及现金等价物余额/总股本
每股企业自由现金流量	(TTM(现金及现金等价物净增加额， 0) - TTM(筹资活动产生的现金流量净额, 0))/总股本	过去12个月的企业自由现金流量/总股本
每股股东自由现金流量	(TTM(现金及现金等价物净增加额, 0)- TTM(吸收权益性投资收到的现金, 0) - TTM(分配股利、利润或偿付利息支付的现金, 0))/总股本	过去12个月的股东自由现金流量/总股本
